Job Title,Rating,Location,Headquarters,Size,company_txt,Industry,Lower Salary,Upper Salary,Avg Salary(K),job_title_sim,seniority_by_title,Python,spark,aws,sql,keras,pytorch,scikit,tensor,hadoop,flink,mongo,lat,lng
Data Scientist,3.8,"Albuquerque, NM","Goleta, CA",6,Tecolote Research,Aerospace & Defense,53,91,72.0,data scientist,na,1,0,0,0,0,0,0,0,0,0,0,35.1054,-106.6465
Healthcare Data Scientist,3.4,"Linthicum, MD","Baltimore, MD",9,University of Maryland Medical System,Health Care Services & Hospitals,63,112,87.5,data scientist,na,1,0,0,0,0,0,0,0,0,0,0,39.2088,-76.6626
Data Scientist,4.8,"Clearwater, FL","Clearwater, FL",6,KnowBe4,Security Services,80,90,85.0,data scientist,na,1,1,0,1,0,0,0,0,0,0,0,27.979,-82.7623
Data Scientist,3.8,"Richland, WA","Richland, WA",7,PNNL,Energy,56,97,76.5,data scientist,na,1,0,0,0,0,0,0,0,0,0,0,46.2824,-119.2939
Data Scientist,2.9,"New York, NY","New York, NY",4,Affinity Solutions,Advertising & Marketing,86,143,114.5,data scientist,na,1,0,0,1,0,0,0,0,0,0,0,40.6943,-73.9249
Data Scientist,3.4,"Dallas, TX","Dallas, TX",5,CyrusOne,Real Estate,71,119,95.0,data scientist,na,1,0,1,1,0,0,0,0,0,0,1,32.7935,-96.7667
Data Scientist,4.1,"Baltimore, MD","Baltimore, MD",6,ClearOne Advantage,Banks & Credit Unions,54,93,73.5,data scientist,na,0,0,0,0,0,0,0,0,0,0,0,39.3051,-76.6144
Data Scientist,3.8,"San Jose, CA","Seattle, WA",5,Logic20/20,Consulting,86,142,114.0,data scientist,na,1,1,1,1,0,1,0,1,0,0,0,37.3012,-121.848
Research Scientist,3.3,"Rochester, NY","Rochester, NY",9,Rochester Regional Health,Health Care Services & Hospitals,38,84,61.0,other scientist,na,0,0,0,0,0,0,0,0,0,0,0,43.168,-77.6162
Data Scientist,4.6,"New York, NY","New York, NY",4,<intent>,Internet,120,160,140.0,data scientist,na,1,1,0,0,0,0,0,0,0,0,0,40.6943,-73.9249
Data Scientist,3.5,"San Jose, CA","San Francisco, CA",6,Wish,Other Retail Stores,126,201,163.5,data scientist,na,1,0,0,0,0,0,0,0,0,0,0,37.3012,-121.848
Data Scientist,4.1,"Chantilly, VA","Herndon, VA",8,ManTech,Research & Development,64,106,85.0,data scientist,na,0,0,0,1,0,0,0,0,1,0,0,38.8868,-77.4453
Staff Data Scientist - Technology,3.2,"Plano, TX","Bentonville, AR",9,Walmart,"Department, Clothing, & Shoe Stores",106,172,139.0,data scientist,na,0,0,0,1,0,0,0,0,1,0,0,33.0502,-96.7486
Data Analyst,4.1,"Seattle, WA","Seattle, WA",5,Yesler,Advertising & Marketing,46,85,65.5,analyst,na,1,1,1,1,0,0,0,0,0,0,0,47.6211,-122.3244
Data Scientist,3.7,"Cambridge, MA","OSAKA, Japan",9,Takeda Pharmaceuticals,Biotech & Pharmaceuticals,83,144,113.5,data scientist,na,1,1,0,1,0,0,0,1,0,0,0,42.3759,-71.1185
Data Engineer I,3.6,"Newark, NJ","Newark, NJ",7,Audible,Motion Picture Production & Distribution,102,190,146.0,data engineer,na,0,0,0,0,0,0,0,0,0,0,0,40.7245,-74.1725
"Scientist I/II, Biology",3.9,"Cambridge, MA","Cambridge, MA",4,Blueprint Medicines,Biotech & Pharmaceuticals,67,137,102.0,other scientist,na,0,0,0,0,0,0,0,0,0,0,0,42.3759,-71.1185
Customer Data Scientist,4.3,"Mountain View, CA","Mountain View, CA",5,h2o.ai,Enterprise Software & Network Solutions,118,189,153.5,data scientist,na,1,1,1,0,0,0,0,0,1,0,0,37.4001,-122.0796
Data Scientist - Health Data Analytics,4.2,"San Francisco, CA","San Francisco, CA",4,Nuna,Enterprise Software & Network Solutions,110,175,142.5,data scientist,na,0,0,0,1,0,0,0,0,0,0,0,37.7558,-122.4449
Data Scientist,4.0,"Denver, CO","Denver, CO",6,Pinnacol Assurance,Insurance Carriers,64,111,87.5,data scientist,na,1,0,0,1,1,1,1,1,0,0,0,39.762,-104.8758
Data Scientist,3.2,"Seattle, WA","Seattle, WA",5,Porch,Internet,81,130,105.5,data scientist,na,1,1,0,1,0,0,0,0,0,0,0,47.6211,-122.3244
Senior Data Scientist / Machine Learning,3.9,"Dallas, TX","Mountain View, CA",5,Health IQ,Insurance Agencies & Brokerages,73,119,96.0,data scientist,sr,0,0,0,0,0,0,0,0,0,0,0,32.7935,-96.7667
Data Scientist - Quantitative,3.8,"Chicago, IL","New Plymouth, ID",6,Truckstop.com,Logistics & Supply Chain,86,139,112.5,data scientist,na,1,0,1,1,0,0,0,0,0,0,1,41.8375,-87.6866
Data Scientist,4.3,"Louisville, KY","Peachtree City, GA",4,SMC 3,Logistics & Supply Chain,63,105,84.0,data scientist,na,1,0,0,1,0,0,0,0,0,0,0,38.1663,-85.6485
Data Scientist,4.0,"Herndon, VA","Mc Lean, VA",6,Novetta,Enterprise Software & Network Solutions,109,177,143.0,data scientist,na,1,0,1,0,1,0,0,1,0,0,0,38.9699,-77.3867
Digital Health Data Scientist,4.0,"Cambridge, MA","New York, NY",9,Pfizer,Biotech & Pharmaceuticals,63,110,86.5,data scientist,na,1,0,1,0,0,0,0,0,0,0,0,42.3759,-71.1185
Data Scientist,3.5,"Hillsboro, OR","San Jose, CA",7,First Tech Federal Credit Union,Banks & Credit Unions,75,124,99.5,data scientist,na,1,1,1,1,1,0,1,1,0,0,0,45.5273,-122.936
Associate Data Analyst,3.7,"Worcester, MA","Worcester, MA",8,The Hanover Insurance Group,Insurance Carriers,34,61,47.5,analyst,na,0,0,0,0,0,0,0,0,0,0,0,42.2705,-71.8079
Clinical Data Scientist,4.0,"Groton, CT","New York, NY",9,Pfizer,Biotech & Pharmaceuticals,63,105,84.0,data scientist,na,0,0,1,0,0,0,0,0,0,0,0,,
Data Scientist,4.8,"Clearwater, FL","Clearwater, FL",6,KnowBe4,Security Services,80,90,85.0,data scientist,na,1,1,0,1,0,0,0,0,0,0,0,27.979,-82.7623
Data Scientist,3.8,"Richland, WA","Richland, WA",7,PNNL,Energy,56,97,76.5,data scientist,na,1,0,0,0,0,0,0,0,0,0,0,46.2824,-119.2939
Data Scientist,3.6,"Detroit, MI","Detroit, MI",7,Amrock,Real Estate,72,120,96.0,data scientist,na,1,0,0,1,0,0,0,0,0,0,0,42.3834,-83.1024
Data Scientist / Machine Learning Expert,3.8,"Cambridge, MA","Basel, Switzerland",9,Novartis,Biotech & Pharmaceuticals,86,143,114.5,data scientist,na,1,0,0,0,0,1,1,0,0,0,0,42.3759,-71.1185
